LOC_ID,gene_ID,unitpro,up_evalue,cel,cel_evalue,dmel,dmel_evalue,spur_acc,spur_evalue
LOC117684147,uncharacterized LOC117684147,O75116.4,0.000448,T10G3.5a.1,2.3,Rok-PC,0.000431,NP_001171981.1,0.1
LOC117684148,uncharacterized LOC117684148,A5IHB6.1,2.8,C06A8.9a.1,3.2,Usp14-PB,1.7,XP_030845483.1,8.4e-09
LOC105343682,retrovirus-related Pol polyprotein from transposon 412,P04323.1,3.15e-109,K02F6.1.1,0.002,rngo-PB,0.014,XP_030854481.1,1.62e-160
LOC105332566,exportin-6-like,Q96QU8.1,0,ZK742.1a.3,0.00038,ebo-PC,3.13e-47,XP_030840223.1,0
LOC105319575,ribosome biogenesis protein TSR3 homolog,Q5HZH2.1,2.67e-84,F52C12.2.1,5.43e-62,CG4338-PA,5.56e-80,XP_030839993.1,6.8e-90
LOC117684150,anterior pharynx in excess protein 1-like,Q96QV1.3,4.71e-05,K08D9.3a.1,8.55e-06,C901-PA,0.054,XP_030842154.1,0.000108
LOC105329786,"myosin heavy chain, striated muscle",P24733.1,0,F58G4.1.1,0,Mhc-PI,0,XP_003727482.1,0
LOC105330938,uncharacterized LOC105330938,Q6ML19.1,2,C50F4.2.1,1.8,,,XP_030833737.1,2.7
LOC105317101,UPF0489 protein C5orf22,Q7SZF1.1,0.15,F53C11.6.1,5.8,Sgs7-PA,4.7,XP_781846.2,0.1
LOC105348652,"hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Q61425.2,1.42e-139,B0272.3.1,1e-129,Mtpalpha-PB,9.4e-47,XP_787188.3,1.63e-136
LOC105328829,contactin-5,Q9VN14.2,1.38e-139,Y54G2A.25a.1,2.09e-50,Cont-PA,1.39e-134,XP_030829353.1,3.37e-93
LOC105348648,"DNA polymerase subunit gamma-2, mitochondrial",Q9UHN1.1,1.34e-45,T10F2.1a.1,1.54e-07,PolG2-PA,2.65e-08,XP_030854742.1,1.11e-52
LOC117684153,corticotropin-releasing factor receptor 1-like,O42602.1,5.01e-40,C13B9.4e.2,4.13e-30,Dh44-R1-PA,6.83e-32,XP_030846623.1,2.14e-40
LOC105348646,gastric inhibitory polypeptide receptor,O42602.1,9.32e-42,C13B9.4e.2,3.16e-29,Dh44-R1-PA,6.57e-19,XP_030846623.1,7.4e-39
LOC105345927,zinc finger protein ubi-d4,Q61103.1,1.17e-101,C28H8.9a.1,6.34e-52,d4-PB,4.78e-66,XP_030854444.1,3.82e-98
LOC105345912,girdin,Q5SNZ0.2,0.24,F59A2.6d.1,0.12,,,XP_030834105.1,0.58
LOC105345954,unconventional myosin-XV,Q9UKN7.2,0,T10H10.1.1,0,Myo10A-PF,0,XP_030840448.1,0
LOC117684155,galactose-3-O-sulfotransferase 2-like,P61315.1,9.2e-31,T21C9.2b.1,1.4,Act5C-PE,0.83,XP_030844447.1,7.26e-36
LOC105345951,transmembrane protein 26-like,Q6ZUK4.1,1.7e-38,Y119C1B.3.2,4.52e-37,CG14238-PA,6.02e-38,XP_796133.2,2.07e-38
LOC105345949,cathepsin L1,P43236.1,1.02e-103,T03E6.7a.1,3.19e-90,Cp1-PA,9.37e-88,XP_001199228.3,8.96e-117
LOC105321022,116 kDa U5 small nuclear ribonucleoprotein component,Q15029.1,0,ZK328.2.2,0,CG4849-PA,0,XP_030846368.1,0
LOC105321188,mismatch repair endonuclease PMS2,P54279.1,5.27e-115,H12C20.2a.1,3.69e-58,Pms2-PA,4.94e-91,XP_786592.4,1.87e-114
LOC117684156,uncharacterized LOC117684156,O50655.1,0.000234,ZK783.1g.1,1.1,CG10053-PB,2,XP_030852067.1,1.68e-57
LOC105328756,methylated-DNA--protein-cysteine methyltransferase,P24528.3,3.04e-35,Y62E10A.5b.1,8.89e-10,agt-PB,0.000652,XP_003729728.2,2.09e-32
LOC105333936,ADP-ribosylation factor-like protein 16,Q0P5N6.1,3.37e-39,B0336.2.3,3.35e-16,CG13692-PA,1.55e-25,XP_030840144.1,4.58e-47
LOC105333877,elongation of very long chain fatty acids protein 6,Q5ZJR8.1,1.39e-80,D2024.3.1,1.03e-78,Baldspot-PB,1.96e-98,XP_011669370.2,8.8e-82
LOC105333798,calpain-1 catalytic subunit,Q9D7J7.1,6.6e-20,M04F3.4b.2,5.35e-10,CalpB-PB,3.13e-18,XP_030854987.1,1.73e-21
LOC105323288,protein FAM13B,O94988.2,5.24e-62,F47A4.3c.1,1.3e-18,CG6424-PD,8.46e-25,XP_030835772.1,3.4e-68
LOC105337341,piwi-like protein 1,A9ZSZ2.2,0,D2030.6.1,5.91e-151,AGO3-PF,0,XP_030835355.1,0
LOC105346924,uncharacterized LOC105346924,P0DMR5.1,1.3e-10,T16H12.5a.1,1.06e-09,CG7058-PB,3.73e-66,XP_030839801.1,1.27e-160
LOC105334403,protocadherin Fat 4-like,Q2PZL6.2,1.06e-174,W02B9.1b.2,2.05e-71,ft-PA,1.46e-149,XP_030837145.1,3.8e-147
LOC105346939,protocadherin Fat 4,Q2PZL6.2,9.43e-173,W02B9.1b.2,4.29e-74,ft-PA,3.64e-152,XP_030837145.1,1.21e-143
LOC105346918,uncharacterized LOC105346918,Q86YA3.3,0,Y48G8AL.6.3,7.12e-51,Upf1-PB,5.79e-45,XP_030835611.1,0
LOC105340430,threonylcarbamoyladenosine tRNA methylthiotransferase,Q6P4Y0.1,0,Y92H12BL.1a.2,9.75e-142,CG6550-PA,0,XP_792404.3,0
LOC105330430,minor histocompatibility antigen H13,Q8TCT9.1,3.06e-174,T05E11.5.1,2.06e-64,Spp-PA,4.02e-158,XP_030838960.1,0
LOC105326343,chromo domain-containing protein cec-1,A1L162.1,1.69e-14,T27D12.2b.1,2,CG14853-PC,1.88e-07,XP_030855943.1,1.08e-10
LOC117684159,ALK tyrosine kinase receptor-like,P09208.3,9.52e-13,R151.1d.1,2.29e-11,InR-PD,7.75e-14,XP_030850807.1,4.94e-08
LOC117684160,uncharacterized LOC117684160,Q9VBW3.2,4.01e-14,R151.1d.1,8.32e-12,InR-PD,1.7e-13,XP_030833437.1,6.48e-15
LOC105324997,uncharacterized LOC105324997,P09760.2,3.96e-14,R151.1d.1,2.23e-12,InR-PD,2.37e-14,XP_030833437.1,1.24e-15
LOC105348956,uncharacterized LOC105348956,Q9BYD6.2,5.09e-11,F33D4.5.1,7.64e-12,mRpL1-PA,1.09e-20,XP_030830504.1,1.6
LOC105332161,uncharacterized LOC105332161,A0A0R4IBK5.1,0.000721,M02A10.3c.1,0.45,Amnionless-PB,7.4,XP_795424.1,2.1
LOC117684162,uncharacterized LOC117684162,Q9HB89.1,1.03e-07,K10B4.4.1,0.000614,CapaR-PB,5.83e-06,XP_030829727.1,5.38e-06
LOC117684163,uncharacterized LOC117684163,Q04202.1,0.005,F46C3.3a.1,0.14,CG9314-PC,2.3,XP_030847310.1,0.36
LOC117684164,leucine-rich repeat extensin-like protein 2,O33479.1,9.64e-25,Y54G2A.6b.3,1.13e-09,SPH93-PA,0.023,XP_030843518.1,2.45e-08
LOC117684166,uncharacterized LOC117684166,A8CG86.1,0.56,T22C1.10b.1,0.4,Nup154-PD,0.12,XP_030855801.1,0
LOC117684167,"protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1-like",Q5XIN7.1,3.28e-132,M01F1.1.1,1.66e-31,Mgat1-PA,1.83e-22,XP_030851529.1,3.68e-128
LOC105326145,"protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",Q5XIN7.1,0,M01F1.1.1,2.53e-31,Mgat1-PA,2.96e-23,XP_030851529.1,0
LOC117684168,thimet oligopeptidase-like,Q8C1A5.1,0,Y67H2A.7b.1,2.19e-16,CG7791-PA,1.04e-47,XP_030851845.1,3.39e-180
LOC117684169,uncharacterized LOC117684169,O06966.1,9.9,,,Mdr49-PA,1.9,XP_786199.4,0.73
LOC117684170,S-methyl-5'-thioadenosine phosphorylase-like,Q7ZV22.2,4.2e-130,B0228.7.3,1.89e-84,Mtap-PC,1.19e-104,XP_785380.2,1.05e-120
LOC117684171,dentin sialophosphoprotein-like,Q5RBA3.1,4.7,F39H11.1.1,1.9,Pc-PA,3.8,XP_030846430.1,4.46e-06
LOC105327954,uncharacterized LOC105327954,Q96MM6.2,3.27e-07,F47D12.5.1,1.1,Hr4-PC,2.5,XP_011671541.2,3.96e-10
LOC117684172,uncharacterized protein K02A2.6-like,P0CT36.1,3.77e-74,C41G6.5.1,0.23,CG7806-PA,0.074,XP_011667710.2,0
LOC105333832,zinc finger MYM-type protein 1-like,Q5SVZ6.1,2.07e-36,Y55D5A.3.1,5.1,tld-PA,3.4,XP_030843567.1,3.58e-64
LOC105349122,uncharacterized LOC105349122,O75832.1,6.1e-16,B0350.2e.2,1.15e-11,CG3104-PC,1.66e-14,XP_030852451.1,4.49e-15
LOC105326350,cubilin,Q9JLB4.3,6.22e-34,F38E9.2.1,2.9e-09,Cubn-PB,3.83e-21,XP_030827983.1,4.72e-30
LOC105348965,ubiquitin domain-containing protein UBFD1,O14562.2,3.01e-104,K10C2.12.1,0.038,Sf3a1-PA,0.011,XP_030839786.1,1.19e-109
LOC105339906,uncharacterized LOC105339906,P10394.1,7.72e-34,K04G7.1.2,0.006,CNBP-PB,0.17,XP_030850203.1,2.48e-177
LOC105348066,uncharacterized LOC105348066,A6NGW2.1,4.45e-19,T26E4.2.1,0.54,,,XP_030837162.1,0.17
LOC105326351,uncharacterized LOC105326351,Q9JLB4.3,4.75e-27,F38E9.2.1,4.11e-21,tok-PC,3.02e-16,XP_030830737.1,1.28e-23
LOC105348065,DNA topoisomerase 3-alpha,O70157.1,0,Y56A3A.27.1,0,Top3alpha-PA,0,XP_030841045.1,0
LOC105331658,putative E3 ubiquitin-protein ligase UNKL,Q9C0B0.2,0,C34D10.2a.2,1.56e-129,unk-PF,9.46e-154,XP_030840719.1,0
LOC117684175,uncharacterized LOC117684175,Q9LR72.1,2.1,F13H8.8.1,0.4,,,XP_030841024.1,8.8
LOC117684176,uncharacterized LOC117684176,A2ASS6.1,0.033,C17E4.6.1,1.4,qua-PC,1.3,XP_030831666.1,8.4e-19
LOC105331834,geranylgeranyl pyrophosphate synthase,O95749.1,1.51e-155,C24A11.9.1,2.49e-09,qm-PB,1.96e-134,XP_030835647.1,1.53e-155
LOC105331743,"ATP synthase subunit d, mitochondrial",O75947.3,2.33e-08,C06H2.1.2,5.5e-06,ATPsynD-PC,3.37e-07,XP_795989.4,2.79e-06
LOC105331818,vacuolar fusion protein CCZ1 homolog,Q7T102.1,2.07e-179,F58G11.6.1,3.58e-48,Ccz1-PB,5.92e-83,XP_030840339.1,0
LOC105331843,poly(ADP-ribose) glycohydrolase-like,O02776.1,1.02e-155,F20C5.1h.1,3.87e-43,Parg-PC,6.49e-152,XP_030834970.1,6.49e-150
LOC117684177,uncharacterized LOC117684177,C6DZJ8.1,4.1,F29D11.1.1,1.3,,,XP_003725371.2,1.71e-05
LOC105323477,uncharacterized LOC105323477,Q6ZWQ0.2,1.7,ZK84.5.1,8.3,CG15260-PB,7.4,XP_800004.2,1.62e-09
LOC117684178,uncharacterized LOC117684178,P27980.2,0.098,B0414.6.1,0.024,CLIP-190-PN,2.4,XP_030839464.1,1.7e-22
LOC117684180,baculoviral IAP repeat-containing protein 7-like,Q9FPH0.1,4.31e-06,Y47G6A.14.2,0.002,Pex10-PB,5.86e-06,XP_030856191.1,4.68e-11
LOC117684181,uncharacterized LOC117684181,P34457.1,0.12,F35A5.8b.1,7.5,Rim-PP,7.8,XP_030852198.1,3.35e-74
Testican-1,proteoglycan Cow,Q62288.2,2.84e-33,C54E4.2a.2,3.17e-23,Cow-PD,3.21e-29,XP_030854646.1,1.78e-09
LOC105325595,leucine-rich melanocyte differentiation-associated protein,Q9D9B4.1,3.24e-70,T19D7.6.1,9.43e-07,CG31076-PB,2.76e-19,XP_030835358.1,5.58e-75
LOC105325600,"enoyl-CoA delta isomerase 1, mitochondrial",P23965.1,1.24e-99,F56B3.5.1,8.33e-14,CG4598-PB,3.91e-83,XP_796711.2,2.75e-104
LOC105320057,DNA ligase 1,P51892.1,0,C29A12.3a.1,0,DNAlig1-PA,0,XP_030840756.1,0
LOC117684183,transmembrane protein 184B-like,Q9Y519.2,4.98e-180,F40E10.6.3,8.31e-172,CG12004-PD,6.61e-146,XP_030839977.1,4.34e-105
LOC105320058,UNC93-like protein MFSD11,Q5RCQ5.1,7.86e-156,M153.2.1,1.03e-79,CG18549-PA,1.5e-104,XP_792285.2,1.81e-122
LOC105320041,phosphatidylinositol-glycan biosynthesis class X protein,Q8TBF5.3,1.44e-27,F49E7.2.1,0.047,PIG-X-PB,1.7e-07,XP_030830486.1,3.1
LOC105340405,aminoacyl tRNA synthase complex-interacting multifunctional protein 2,Q9WVM7.1,5.15e-37,W10C8.4d.1,0.8,AIMP2-PB,3.44e-12,XP_780644.1,6.61e-58
LOC109620252,uncharacterized LOC109620252,Q12395.1,0.11,F33D4.3.1,0.47,CG6324-PA,6.3,XP_787027.4,1.8
LOC105323517,B9 domain-containing protein 1,Q9UPM9.1,3.73e-99,K03E6.4.1,9.45e-29,B9d1-PA,5.95e-34,XP_030839765.1,2.45e-97
LOC105324107,transmembrane protein 14C,Q9P0S9.1,1.83e-33,T04G9.2.1,4.1,CG5532-PB,3.54e-24,XP_030839052.1,2.02e-27
LOC105340662,MDS1 and EVI1 complex locus protein EVI1-B,Q6ZSB9.3,6.35e-23,F25D7.3a.1,2.38e-19,crol-PG,4.28e-20,XP_794184.4,1.86e-23
LOC117684187,uncharacterized LOC117684187,Q9DBL7.2,0.3,R90.1.1,2,CG33278-PA,9.4,XP_030849416.1,3.1
LOC105347774,uncharacterized LOC105347774,Q16P90.1,0.94,F52G2.2b.2,0.2,apolpp-PD,6,XP_030840358.1,1.17e-64
LOC105347772,monocyte to macrophage differentiation factor,Q719N3.1,2.16e-61,Y71G12B.23a.1,2.75e-61,CG4615-PA,4.26e-52,XP_011669594.2,3.42e-70
LOC105346193,transcription factor E4F1,Q4V8R6.1,7.54e-72,Y55F3AM.14.2,1.03e-30,CG5245-PA,2.28e-45,XP_030835739.1,8.7e-58
LOC105347771,RAD50-interacting protein 1,Q6NUQ1.1,0,F56D12.1d.1,1.7,Rint1-PA,2e-97,XP_030840743.1,2.81e-152
LOC117684193,SUMO-conjugating enzyme UBC9-B,Q9DDJ0.1,5.15e-104,F29B9.6.2,2.13e-96,lwr-PD,1.06e-104,XP_793891.1,4.75e-99
LOC105346173,uncharacterized LOC105346173,Q96M20.2,9.24e-21,R07E4.6b.1,2.83e-09,Pka-R1-PX,3.64e-09,XP_030840784.1,3.05e-82
LOC105346179,uncharacterized LOC105346179,Q5R543.1,0.94,T04C10.2a.1,2,tn-PD,0.012,XP_030856333.1,1.72e-22
LOC105340669,structural maintenance of chromosomes flexible hinge domain-containing protein 1,Q6P5D8.2,0,T01C3.8a.1,0.29,Rabex-5-PA,0.52,XP_030830808.1,0
LOC117680502,uncharacterized LOC117680502,Q80XI3.2,0.093,ZK783.1d.1,1.8,Paf-AHalpha-PB,0.33,XP_030844922.1,3.26e-22
LOC117684195,glycine-rich cell wall structural protein 1-like,P07897.2,0.005,K12C11.4d.1,1.1,,,XP_030843545.1,0.073
LOC117684196,glycine-rich cell wall structural protein 1-like,P07897.2,0.031,Y39A3CR.3a.1,0.2,,,XP_030841295.1,0.84
LOC105346184,glycine-rich cell wall structural protein 1-like,P07897.2,0.14,T28H11.5.1,0.16,,,XP_030843545.1,0.39
LOC117684197,loricrin-like,Q61282.2,0.004,K12C11.4d.1,1.2,,,XP_030841295.1,0.76
LOC105318577,transcriptional regulator ATRX,Q10002.2,1.06e-99,T05H10.2.2,9.33e-101,Gdap1-PB,0.017,XP_030838408.1,1.5e-138
LOC105331248,properdin,P35448.1,1.12e-19,C02B4.1.1,2.59e-12,Sema5c-PB,1.6e-13,XP_030839714.1,1.6e-17
LOC105323790,V-type proton ATPase 116 kDa subunit a,Q9Z1G4.3,0,ZK637.8c.1,0,Vha100-2-PA,0,XP_030852886.1,0
LOC117684199,uncharacterized LOC117684199,Q8R2K4.1,1.5,T05C1.4b.1,1.1,,,XP_030852067.1,1.55e-36
LOC105323827,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like,Q8C2P3.1,0,F36A2.2.1,4.45e-115,CG3645-PC,2.56e-155,XP_030840295.1,8.49e-176
LOC105323772,COP9 signalosome complex subunit 1,Q6NRT5.1,0,Y59A8A.1.1,6.39e-51,CSN1b-PA,0,XP_030855003.1,0
LOC105323847,transducin beta-like protein 3,Q8C4J7.1,0,Y53C12B.1.1,2.83e-140,CG1671-PA,1e-137,XP_030840363.1,0
LOC105331241,coadhesin,Q96RW7.2,3.4e-73,T21B6.3.1,1.15e-41,Sema5c-PB,2.85e-34,XP_030853395.1,2.87e-57
LOC105327760,cell wall protein DAN4,O35930.2,8.84e-11,T01D3.1b.1,5.02e-06,dpr1-PB,1.4,XP_030844720.1,2.47e-20
LOC105331239,glucoside xylosyltransferase 2,Q6DE37.1,4.73e-116,K09C8.4.1,2.5e-16,shams-PB,2.79e-103,XP_030849204.1,1.01e-111
LOC105341322,armadillo repeat-containing protein 7,Q3UJZ3.2,2.83e-76,T28B8.3a.1,0.14,CG14881-PB,7.17e-26,XP_796216.2,1.63e-80
LOC105327978,E3 ubiquitin-protein ligase MARCH8,Q6NZQ8.2,2.67e-13,C53D5.2.1,3.52e-28,CG4080-PB,4.05e-13,XP_784298.2,5.79e-12
LOC105337674,tripartite motif-containing protein 45,Q6PFY8.2,2.19e-10,F26F4.7.1,1.07e-07,Trim9-PA,0.000466,XP_030842439.1,2.75e-09
LOC105342403,U4/U6 small nuclear ribonucleoprotein Prp31-like,Q6NVP6.1,9.99e-22,Y110A7A.8.1,2.85e-09,Prp31-PA,6.24e-25,XP_793603.3,9.11e-18
LOC105331238,uncharacterized LOC105331238,O75594.1,1.12e-41,K08F4.2.1,0.65,PGRP-SC2-PA,1.69e-36,XP_030830526.1,1.16e-45
LOC105345512,thromboxane A2 receptor,P30987.1,1.78e-21,T01C4.3.1,0.000151,Octbeta1R-PB,4.06e-05,XP_030832885.1,2.02e-08
LOC117684202,uncharacterized LOC117684202,P0DMS5.1,0.73,F10G7.2.1,0.11,lilli-PH,8.1,XP_011662732.1,2.66e-17
LOC105345056,uncharacterized LOC105345056,P23198.2,1.06e-06,ZK1236.2.1,7.03e-06,Su(var)205-PB,8.01e-06,XP_030840373.1,1.69e-05
LOC105334111,ATP-sensitive inward rectifier potassium channel 12,F1NHE9.1,1.33e-87,M02A10.2a.1,3.78e-78,Irk2-PB,4.67e-73,XP_030840441.1,1.84e-76
LOC117684204,uncharacterized LOC117684204,A7SGU3.1,0.32,,,,,XP_030848269.1,0.62
LOC105317567,trichohyalin,O62640.1,9.52e-13,K11D12.9.1,4.89e-07,Diap2-PB,3.73e-08,XP_003730074.2,3.96e-05
LOC105345097,phosphomannomutase,P07283.1,3.45e-91,F52B11.2a.1,2.54e-81,Pmm2-PA,3.11e-83,XP_793484.1,3.67e-88
LOC105341693,tyrosine-protein kinase SYK-like,F1N9Y5.2,1.88e-156,F49B2.5.1,1.53e-56,Shark-PA,4.64e-59,XP_030851830.1,1.29e-173
LOC117684205,"M protein, serotype 5-like",P02469.3,8.23e-06,W03F8.5a.1,0.013,rod-PA,1.1,XP_030852665.1,2.41e-05
LOC117684206,26S proteasome non-ATPase regulatory subunit 10-like,O75832.1,5.63e-25,F40G9.17.2,1.16e-16,pyx-PA,8.72e-17,XP_782225.2,3.71e-34
LOC105326002,asialoglycoprotein receptor 1-like_partial mRNA,P07898.2,1.86e-17,ZK1193.2a.1,5.56e-10,lectin-24Db-PA,1.1e-06,XP_030846891.1,3.45e-16
LOC117684208,3'-5' ssDNA/RNA exonuclease TatD-like,A7MQN1.2,4.35e-14,Y37H2A.1b.1,4.24e-15,CG3308-PA,0.24,XP_030828787.1,1.49e-19
LOC117684209,uncharacterized LOC117684209,E6RM71.1,5,F15B9.1.1,2.8,,,XP_030855801.1,5.44e-10
LOC117684210,uncharacterized LOC117684210,A8G1A9.1,0.33,T04C12.1.1,1.7,Zcchc7-PA,6.6,XP_011663943.2,0.95
LOC105331246,condensin-2 complex subunit D3,P42695.2,0,Y110A7A.1a.1,1.38e-42,Cap-D3-PB,8.58e-05,XP_030849040.1,0
LOC105335833,uncharacterized LOC105335833,Q923L3.2,4.6e-27,T07H6.5c.1,7.34e-14,fw-PB,5.93e-20,XP_030844139.1,1.33e-34
LOC117684211,hemicentin-2-like,P20273.2,1.27e-22,F39H12.4.1,1.08e-28,sns-PC,5.35e-33,XP_030834622.1,1.37e-29
LOC105333816,uncharacterized LOC105333816,Q6J6I8.1,1.02e-13,C36A4.8a.1,7.86e-06,MCPH1-PC,0.015,XP_030829804.1,3.77e-51
LOC105336585,collagen alpha-5(IV) chain,Q5UPS7.1,1.07e-46,M199.5b.1,1.8e-48,Col4a1-PA,5.11e-07,XP_030835813.1,6.71e-50
LOC117684212,uncharacterized LOC117684212,Q10126.1,2.6,T28F3.6.1,2.9,CG11836-PJ,6.8,XP_030843485.1,1.1e-09
LOC117684213,THAP domain-containing protein 10-like,Q8WY91.2,7.3e-11,C09H6.1b.1,2.7,CG10431-PB,0.002,XP_030853122.1,1.26e-14
LOC117684214,uncharacterized LOC117684214,F4J339.1,1,ZK637.3.1,3.2,CG18304-PC,9.4,XP_030855801.1,2.31e-159
LOC117684215,uncharacterized LOC117684215,Q5TGJ6.1,0.081,H12I13.4.1,0.044,CG7560-PA,1.2,XP_030844981.1,2.91e-128
LOC105335127,zinc finger X-linked protein ZXDB,Q6FRZ5.1,0.001,C55B7.1.1,0.000286,,,XP_030831660.1,9.92e-06
LOC105335126,retrotransposon-like protein 1,Q70KF4.2,9.6,F09G2.9.1,0.92,,,XP_030832282.1,1.2
LOC117684216,ATP-dependent RNA helicase A-like,O49429.1,0.74,T11G6.5a.1,0.92,CG34357-PD,2.8,,
LOC117684217,uncharacterized LOC117684217,Q7T0T0.1,0.038,C36B1.1a.1,0.059,CG42524-PB,3.8,XP_030842986.1,0.092
LOC105342752,uncharacterized LOC105342752,Q6ZRF8.2,3.88e-10,F26F4.7.1,4.83e-06,wech-PE,6.32e-05,XP_030835828.1,3.27e-09
LOC117684218,uncharacterized LOC117684218,O93209.1,1.35e-05,Y20F4.8.1,2.81e-08,Ten-m-PB,2,XP_003729153.2,7.21e-129
LOC105322597,uncharacterized LOC105322597,Q03SR5.1,2.7,E01G6.1.1,1.7,mbc-PA,0.32,XP_030852506.1,0.8
LOC117684219,uncharacterized LOC117684219,Q5S007.2,5.97e-06,F53A2.3.1,0.51,Fur1-PH,3.2,XP_030845577.1,9.05e-16
LOC117684220,uncharacterized protein K02A2.6-like,Q09575.1,1.12e-23,K02F6.1.1,0.11,CNBP-PB,2.2,XP_011681045.2,1.48e-109
LOC117684221,uncharacterized LOC117684221,P08361.2,0.048,F22B5.2b.2,1,eIF3g2-PA,0.72,XP_030840362.1,4.93e-07
LOC109620003,ADP-ribosylation factor-like,P91924.3,6.75e-56,F57H12.1.1,2.26e-56,Arf79F-PJ,1.3e-54,XP_787374.1,2.23e-53
LOC117684222,cilia- and flagella-associated protein 251-like,Q4G0P3.3,0.001,K08C7.3c.1,0.009,dac-PA,6.3,XP_030833545.1,0.013
LOC105348307,multiple PDZ domain protein,O75970.2,0,C52A11.4e.1,2.39e-63,Patj-PB,1.99e-95,XP_030852762.1,2.7e-152
LOC117684223,fibroleukin-like,Q00546.1,6.18e-36,D1009.3b.1,6.25e-13,CG8642-PB,9.96e-31,XP_030843515.1,2.2e-37
LOC105327300,neural cell adhesion molecule 1-A,Q7TSU7.1,3.92e-19,F39H12.4.1,1.98e-26,ed-PC,5.33e-16,XP_030852893.1,3.77e-19
LOC117684224,uncharacterized LOC117684224,A5F3L5.1,1.9,F40F12.5c.1,0.64,CG16852-PA,2.7,XP_011672505.2,6.48e-09
LOC109620833,uncharacterized LOC109620833,Q9Y6R7.3,0.59,F52C9.1.1,1,PGAP2-PA,1.5,XP_030844486.1,0.000189
LOC117684225,uncharacterized LOC117684225,Q10126.1,3.72e-11,W09C3.8.1,0.24,msps-PC,0.27,XP_030835088.1,4.17e-39
LOC117684226,uncharacterized LOC117684226,Q57065.1,2.6,M05D6.2.1,1.6,CG7248-PA,4,XP_030846363.1,2.1
LOC105337466,uncharacterized protein K02A2.6-like,P04323.1,3.74e-85,ZK1005.1a.1,1,CNBP-PB,0.023,XP_030853133.1,0
LOC117684227,"ADP,ATP carrier protein 3, mitochondrial-like",P18238.1,6.11e-75,W02D3.6.1,1.18e-55,sesB-PE,3.4e-59,XP_011665172.1,3.04e-59
LOC117684228,uncharacterized LOC117684228,P84675.2,0.042,F07A5.1a.2,0.89,trpl-PD,3.5,XP_030832228.1,0.053
LOC105341840,probable E3 ubiquitin-protein ligase MID2,Q9QUS6.2,2.22e-14,F54G8.4a.1,1.25e-07,mei-P26-PD,4.21e-13,XP_030847092.1,1.11e-16
LOC117684229,uncharacterized LOC117684229,Q8K0U4.1,1.33e-16,C37H5.8.1,0.1,CG33140-PA,0.61,XP_011671541.2,2.67e-17
LOC105341841,collagen alpha-1(III) chain-like,Q5UNS9.1,2.93e-37,M199.5a.1,1.13e-35,vkg-PC,2.46e-09,XP_030853889.1,1.3e-16
LOC105341842,collagen alpha-1(I) chain,Q5UQ50.1,1.73e-41,M199.5a.1,1.43e-42,Mp-PG,0.002,XP_030835813.1,8.14e-32
LOC117684231,probable cyclin-dependent serine/threonine-protein kinase DDB_G0292550,A0A0H3HIJ5.1,1.03e-23,Y43D4A.5c.1,0.000629,,,XP_030843487.1,2.68e-07
LOC117684230,tyrosine-protein kinase JAK2-like,O60674.2,3.35e-11,T27D12.1a.2,2.3,hop-PA,0.000208,XP_030833482.1,8.8e-13
LOC117684232,uncharacterized LOC117684232,Q5RJY2.2,2.87e-18,Y65B4BR.4a.1,0.006,Su(dx)-PF,0.037,XP_030855906.1,8.31e-11
LOC117684233,protein PFC0760c-like,C9ZN16.1,9.32e-12,F22D6.6.1,2.7,Dp1-PH,7.5,XP_030848805.1,1.68e-17
LOC105334780,protein MLP1,Q27421.5,4.78e-51,F10G8.8a.1,3.27e-33,osp-PE,2.69e-53,XP_030840212.1,1.5e-21
LOC105334802,delphilin,A4D2P6.2,7.67e-76,F56E10.2b.2,7.88e-37,DAAM-PA,1.23e-45,XP_030840677.1,5.17e-85
LOC117684234,uncharacterized LOC117684234,P48356.1,2.7,F44C8.10.1,0.021,CG5028-PB,0.47,XP_030855801.1,0
LOC117684235,uncharacterized LOC117684235,,,T09E8.1g.1,0.98,Kul-PC,3.1,XP_030849587.1,1.5e-35
LOC105347723,protocadherin Fat 4,Q6V0I7.2,0,R10F2.1.1,5.32e-73,ft-PA,8.87e-136,XP_030837145.1,4.58e-110
LOC117684236,protein FAM133A-like,,,F41H10.3b.1,0.001,CG11170-PD,6.2,XP_030834466.1,5.11e-07
LOC117684237,cyclin-K-like,P25823.2,0.000186,C07H6.4.1,0.52,CG7924-PA,0.001,XP_030843345.1,0.000315
LOC105341106,netrin receptor UNC5C,Q761X5.1,1.5e-176,B0273.4b.1,2.23e-60,unc-5-PB,1.13e-52,XP_030835171.1,7.28e-75
LOC117684239,protein TonB-like,Q6CFJ2.1,0.5,F09C3.3.1,0.16,tnc-PD,2,XP_003728420.2,1.9
LOC117684240,uncharacterized LOC117684240,Q8H0X6.2,0.75,F35D11.11d.3,1.5,Dop2R-PF,0.018,XP_030841947.1,0.000415
LOC117684238,condensin-2 complex subunit D3-like,P42695.2,1.19e-82,Y110A7A.1b.1,2.21e-15,,,XP_030849040.1,3.71e-103
